timestamp,value,kpi_name,day_of_week,hour_of_day,is_weekend,unit,rolling_avg,rolling_std,is_anomaly,kpi_type
2024-01-01 00:00:00,10.296257700262831,SSL_Handshake_Errors,0,0,False,percentage,10.296257700262831,0.0,False,combination
2024-01-01 01:00:00,11.000405520802472,SSL_Handshake_Errors,0,1,False,percentage,10.64833161053265,0.4979076988613086,False,combination
2024-01-01 02:00:00,11.723841603764544,SSL_Handshake_Errors,0,2,False,percentage,11.00683494160995,0.7138136685951296,False,combination
2024-01-01 03:00:00,14.414638816576307,SSL_Handshake_Errors,0,3,False,percentage,12.379628647047774,1.799108038472479,False,combination
2024-01-01 04:00:00,13.731495761145432,SSL_Handshake_Errors,0,4,False,percentage,13.289992060495427,1.3986749259154645,False,combination
2024-01-01 05:00:00,14.946404019241692,SSL_Handshake_Errors,0,5,False,percentage,14.364179532321145,0.6090239103871755,False,combination
2024-01-01 06:00:00,14.59226595458864,SSL_Handshake_Errors,0,6,False,percentage,14.423388578325254,0.6248121278094984,False,combination
2024-01-01 07:00:00,14.956890008589733,SSL_Handshake_Errors,0,7,False,percentage,14.831853327473356,0.20755498290214375,False,combination
2024-01-01 08:00:00,14.373911148072962,SSL_Handshake_Errors,0,8,False,percentage,14.641022370417112,0.2945317962728218,False,combination
2024-01-01 09:00:00,13.079616263612621,SSL_Handshake_Errors,0,9,False,percentage,14.136805806758439,0.9608347337367714,False,combination
2024-01-01 10:00:00,12.736428675915729,SSL_Handshake_Errors,0,10,False,percentage,13.396652029200439,0.8635513703028549,False,combination
2024-01-01 11:00:00,11.552535882382097,SSL_Handshake_Errors,0,11,False,percentage,12.456193607303483,0.8011818725763099,False,combination
2024-01-01 12:00:00,9.209531010160479,SSL_Handshake_Errors,0,12,False,percentage,11.166165189486101,1.794913234789963,False,combination
2024-01-01 13:00:00,7.7738034479802405,SSL_Handshake_Errors,0,13,False,percentage,9.511956780174271,1.9074330165110618,False,combination
